"","date","Prieta_pool0"
"158","2006-12-03",0.0201666666666667
"159","2006-12-04",0.0188020833333333
"160","2006-12-05",0.122197916666667
"161","2006-12-06",0.204135416666667
"162","2006-12-07",0.0286354166666667
"163","2006-12-08",0.0167395833333333
"164","2006-12-09",0.01534375
"165","2006-12-10",0.0126354166666667
"166","2006-12-11",0.0121979166666667
"167","2006-12-12",0.01290625
"168","2006-12-13",0.0109479166666667
"169","2006-12-14",0.0102291666666667
"170","2006-12-15",0.00932291666666667
"171","2006-12-16",0.00970833333333333
"172","2006-12-17",0.0911041666666667
"173","2006-12-18",0.0140208333333333
"174","2006-12-19",0.00967708333333333
"175","2006-12-20",0.009
"176","2006-12-21",0.009
"177","2006-12-22",0.0101875
"178","2006-12-23",0.0123020833333333
"179","2006-12-24",0.00905208333333333
"180","2006-12-25",0.009
"181","2006-12-26",0.00921875
"182","2006-12-27",0.009
"183","2006-12-28",0.0103958333333333
"184","2006-12-29",0.01865625
"185","2006-12-30",0.0377291666666667
"186","2006-12-31",0.02340625
"187","2007-01-01",0.0519375
"188","2007-01-02",0.0105833333333333
"189","2007-01-03",0.0101979166666667
"190","2007-01-04",0.0122083333333333
"191","2007-01-05",0.0104583333333333
"192","2007-01-06",0.009
"193","2007-01-07",0.0101770833333333
"194","2007-01-08",0.0116666666666667
"195","2007-01-09",0.009
"196","2007-01-10",0.00910416666666667
"197","2007-01-11",0.00951041666666667
"198","2007-01-12",0.0095
"199","2007-01-13",0.0215625
"200","2007-01-14",0.0270104166666667
"201","2007-01-15",0.0134270833333333
"202","2007-01-16",0.0123020833333333
"203","2007-01-17",0.009
"204","2007-01-18",0.0271979166666667
"205","2007-01-19",0.0160625
"206","2007-01-20",0.0412604166666667
"207","2007-01-21",0.009375
"208","2007-01-22",0.009
"209","2007-01-23",0.009
"210","2007-01-24",0.00920833333333333
"211","2007-01-25",0.00976041666666667
"212","2007-01-26",0.0100833333333333
"213","2007-01-27",0.0102291666666667
"214","2007-01-28",0.0108541666666667
"215","2007-01-29",0.0113333333333333
"216","2007-01-30",0.0120416666666667
"217","2007-01-31",0.0133229166666667
"218","2007-02-01",0.0136145833333333
"219","2007-02-02",0.01146875
"220","2007-02-03",0.0113333333333333
"221","2007-02-04",0.01221875
"222","2007-02-05",0.011
"223","2007-02-06",0.0114375
"224","2007-02-07",0.0139479166666667
"225","2007-02-08",0.0141818181818182
"226","2007-03-27",0.0124590163934426
"227","2007-03-28",0.233260416666667
"228","2007-03-29",0.0284166666666667
"229","2007-03-30",0.0585
"230","2007-03-31",0.00994791666666667
"231","2007-04-01",0.00947916666666667
"232","2007-04-02",0.0109791666666667
"233","2007-04-03",0.0123333333333333
"234","2007-04-04",0.0184895833333333
"235","2007-04-05",0.00997916666666667
"236","2007-04-06",0.0125416666666667
"237","2007-04-07",0.0141770833333333
"238","2007-04-08",0.0147916666666667
"239","2007-04-09",0.0161770833333333
"240","2007-04-10",0.0164166666666667
"241","2007-04-11",0.0175208333333333
"242","2007-04-12",0.0185625
"243","2007-04-13",0.0179479166666667
"244","2007-04-14",0.0195
"245","2007-04-15",0.0199270833333333
"246","2007-04-16",0.0181458333333333
"247","2007-04-17",0.0175729166666667
"248","2007-04-18",0.0115
"249","2007-04-19",0.0146458333333333
"250","2007-04-20",0.0168333333333333
"251","2007-04-21",0.0134375
"252","2007-04-22",0.125177083333333
"253","2007-04-23",0.23328125
"254","2007-04-24",0.28346875
"255","2007-04-25",0.0654791666666667
"256","2007-04-26",0.21065625
"257","2007-04-27",0.05509375
"258","2007-04-28",0.0185729166666667
"259","2007-04-29",0.0116979166666667
"260","2007-04-30",0.104739583333333
"261","2007-05-01",0.133791666666667
"262","2007-05-02",0.03915625
"263","2007-05-03",0.0270208333333333
"264","2007-05-04",0.0126354166666667
"265","2007-05-05",0.0104166666666667
"266","2007-05-06",0.00939583333333333
"267","2007-05-07",0.009
"268","2007-05-08",0.009
"269","2007-05-09",0.009
"270","2007-05-10",0.00901041666666667
"271","2007-05-11",0.00914583333333333
"272","2007-05-12",0.00972916666666667
"273","2007-05-13",0.0103958333333333
"274","2007-05-14",0.0108020833333333
"275","2007-05-15",0.0110833333333333
"276","2007-05-16",0.0120104166666667
"277","2007-05-17",0.0119270833333333
"278","2007-05-18",0.0123645833333333
