"","date","Prieta_pool0","daily_discharge_max"
"129","2006-11-04",0.00916666666666667,0.011
"130","2006-11-05",0.00969791666666667,0.011
"131","2006-11-06",0.0105208333333333,0.012
"132","2006-11-07",0.0110416666666667,0.013
"133","2006-11-08",0.0114375,0.014
"134","2006-11-09",0.0122291666666667,0.014
"135","2006-11-10",0.0124270833333333,0.014
"136","2006-11-11",0.01209375,0.014
"137","2006-11-12",0.0112604166666667,0.023
"138","2006-11-13",0.00985416666666667,0.011
"139","2006-11-14",0.00970833333333333,0.012
"140","2006-11-15",0.0120625,0.014
"141","2006-11-16",0.0125416666666667,0.015
"142","2006-11-17",0.0128229166666667,0.014
"143","2006-11-18",0.01440625,0.018
"144","2006-11-19",0.0160625,0.018
"145","2006-11-20",0.0167916666666667,0.019
"146","2006-11-21",0.0142604166666667,0.017
"147","2006-11-22",0.0135104166666667,0.019
"148","2006-11-23",0.0103333333333333,0.017
"149","2006-11-24",0.0120520833333333,0.015
"150","2006-11-25",0.0127708333333333,0.016
"151","2006-11-26",0.0161666666666667,0.019
"152","2006-11-27",0.178072916666667,2.388
"153","2006-11-28",0.04528125,0.246
"154","2006-11-29",0.0784270833333333,0.297
"155","2006-11-30",0.01884375,0.039
"156","2006-12-01",0.202572916666667,0.94
"157","2006-12-02",0.05009375,0.128
"158","2006-12-03",0.0201666666666667,0.037
"159","2006-12-04",0.0188020833333333,0.029
"160","2006-12-05",0.122197916666667,0.639
"161","2006-12-06",0.204135416666667,2.323
"162","2006-12-07",0.0286354166666667,0.042
"163","2006-12-08",0.0167395833333333,0.022
"164","2006-12-09",0.01534375,0.019
"165","2006-12-10",0.0126354166666667,0.014
"166","2006-12-11",0.0121979166666667,0.015
"167","2006-12-12",0.01290625,0.018
"168","2006-12-13",0.0109479166666667,0.014
"169","2006-12-14",0.0102291666666667,0.011
"170","2006-12-15",0.00932291666666667,0.01
"171","2006-12-16",0.00970833333333333,0.017
"172","2006-12-17",0.0911041666666667,0.345
"173","2006-12-18",0.0140208333333333,0.025
"174","2006-12-19",0.00967708333333333,0.01
"175","2006-12-20",0.009,0.009
"176","2006-12-21",0.009,0.009
"177","2006-12-22",0.0101875,0.012
"178","2006-12-23",0.0123020833333333,0.021
"179","2006-12-24",0.00905208333333333,0.01
"180","2006-12-25",0.009,0.009
"181","2006-12-26",0.00921875,0.01
"182","2006-12-27",0.009,0.009
"183","2006-12-28",0.0103958333333333,0.015
"184","2006-12-29",0.01865625,0.108
"185","2006-12-30",0.0377291666666667,0.118
"186","2006-12-31",0.02340625,0.062
"187","2007-01-01",0.0519375,0.181
"188","2007-01-02",0.0105833333333333,0.015
"189","2007-01-03",0.0101979166666667,0.018
"190","2007-01-04",0.0122083333333333,0.017
"191","2007-01-05",0.0104583333333333,0.013
"192","2007-01-06",0.009,0.009
"193","2007-01-07",0.0101770833333333,0.013
"194","2007-01-08",0.0116666666666667,0.017
"195","2007-01-09",0.009,0.009
"196","2007-01-10",0.00910416666666667,0.01
"197","2007-01-11",0.00951041666666667,0.01
"198","2007-01-12",0.0095,0.015
"199","2007-01-13",0.0215625,0.049
"200","2007-01-14",0.0270104166666667,0.073
"201","2007-01-15",0.0134270833333333,0.025
"202","2007-01-16",0.0123020833333333,0.023
"203","2007-01-17",0.009,0.009
"204","2007-01-18",0.0271979166666667,0.09
"205","2007-01-19",0.0160625,0.028
"206","2007-01-20",0.0412604166666667,0.188
"207","2007-01-21",0.009375,0.011
"208","2007-01-22",0.009,0.009
"209","2007-01-23",0.009,0.009
"210","2007-01-24",0.00920833333333333,0.01
"211","2007-01-25",0.00976041666666667,0.011
"212","2007-01-26",0.0100833333333333,0.011
"213","2007-01-27",0.0102291666666667,0.011
"214","2007-01-28",0.0108541666666667,0.012
"215","2007-01-29",0.0113333333333333,0.012
"216","2007-01-30",0.0120416666666667,0.014
"217","2007-01-31",0.0133229166666667,0.015
"218","2007-02-01",0.0136145833333333,0.016
"219","2007-02-02",0.01146875,0.015
"220","2007-02-03",0.0113333333333333,0.014
"221","2007-02-04",0.01221875,0.014
"222","2007-02-05",0.011,0.014
"223","2007-02-06",0.0114375,0.013
"224","2007-02-07",0.0139479166666667,0.016
"225","2007-02-08",0.0141818181818182,0.016
"226","2007-03-27",0.0124590163934426,0.015
"227","2007-03-28",0.233260416666667,1.807
"228","2007-03-29",0.0284166666666667,0.117
"229","2007-03-30",0.0585,0.283
"230","2007-03-31",0.00994791666666667,0.015
"231","2007-04-01",0.00947916666666667,0.011
"232","2007-04-02",0.0109791666666667,0.012
"233","2007-04-03",0.0123333333333333,0.015
"234","2007-04-04",0.0184895833333333,0.04
"235","2007-04-05",0.00997916666666667,0.011
"236","2007-04-06",0.0125416666666667,0.015
"237","2007-04-07",0.0141770833333333,0.017
"238","2007-04-08",0.0147916666666667,0.018
"239","2007-04-09",0.0161770833333333,0.021
"240","2007-04-10",0.0164166666666667,0.02
"241","2007-04-11",0.0175208333333333,0.021
"242","2007-04-12",0.0185625,0.023
"243","2007-04-13",0.0179479166666667,0.022
"244","2007-04-14",0.0195,0.024
"245","2007-04-15",0.0199270833333333,0.026
"246","2007-04-16",0.0181458333333333,0.021
"247","2007-04-17",0.0175729166666667,0.02
"248","2007-04-18",0.0115,0.022
"249","2007-04-19",0.0146458333333333,0.018
"250","2007-04-20",0.0168333333333333,0.021
"251","2007-04-21",0.0134375,0.017
"252","2007-04-22",0.125177083333333,1.131
"253","2007-04-23",0.23328125,1.744
"254","2007-04-24",0.28346875,1.041
"255","2007-04-25",0.0654791666666667,0.266
"256","2007-04-26",0.21065625,1.197
"257","2007-04-27",0.05509375,0.085
"258","2007-04-28",0.0185729166666667,0.03
"259","2007-04-29",0.0116979166666667,0.014
"260","2007-04-30",0.104739583333333,0.68
"261","2007-05-01",0.133791666666667,0.448
"262","2007-05-02",0.03915625,0.067
"263","2007-05-03",0.0270208333333333,0.046
"264","2007-05-04",0.0126354166666667,0.016
"265","2007-05-05",0.0104166666666667,0.012
"266","2007-05-06",0.00939583333333333,0.01
"267","2007-05-07",0.009,0.009
"268","2007-05-08",0.009,0.009
"269","2007-05-09",0.009,0.009
"270","2007-05-10",0.00901041666666667,0.01
"271","2007-05-11",0.00914583333333333,0.01
"272","2007-05-12",0.00972916666666667,0.011
"273","2007-05-13",0.0103958333333333,0.012
"274","2007-05-14",0.0108020833333333,0.012
"275","2007-05-15",0.0110833333333333,0.013
"276","2007-05-16",0.0120104166666667,0.014
"277","2007-05-17",0.0119270833333333,0.014
"278","2007-05-18",0.0123645833333333,0.016
"279","2007-05-19",0.01271875,0.014
"280","2007-05-20",0.01253125,0.014
"281","2007-05-21",0.0128333333333333,0.017
"282","2007-05-22",0.01240625,0.015
"283","2007-05-23",0.0131354166666667,0.016
"284","2007-05-24",0.01190625,0.014
"285","2007-05-25",0.0124479166666667,0.014
"286","2007-05-26",0.0141666666666667,0.019
"287","2007-05-27",0.0145104166666667,0.017
"288","2007-05-28",0.0129895833333333,0.015
"289","2007-05-29",0.01465625,0.018
"290","2007-05-30",0.0159166666666667,0.021
"291","2007-05-31",0.01196875,0.016
"292","2007-06-01",0.01340625,0.018
"293","2007-06-02",0.00986458333333333,0.013
"294","2007-06-03",0.0132395833333333,0.016
"295","2007-06-04",0.0156770833333333,0.019
"296","2007-06-05",0.0177083333333333,0.02
"297","2007-06-06",0.0182395833333333,0.021
"298","2007-06-07",0.0158645833333333,0.018
"299","2007-06-08",0.0950104166666667,0.558
"300","2007-06-09",0.01378125,0.043
"301","2007-06-10",0.0103541666666667,0.013
"302","2007-06-11",0.01071875,0.013
"303","2007-06-12",0.0113854166666667,0.013
"304","2007-06-13",0.0116354166666667,0.015
"305","2007-06-14",0.0153020833333333,0.018
"306","2007-06-15",0.0176666666666667,0.022
"307","2007-06-16",0.0183333333333333,0.022
"308","2007-06-17",0.0122916666666667,0.019
"309","2007-06-18",0.0142708333333333,0.019
"310","2007-06-19",0.0176458333333333,0.022
"311","2007-06-20",0.0108333333333333,0.018
"312","2007-06-21",0.0156354166666667,0.02
"313","2007-06-22",0.01953125,0.024
"314","2007-06-23",0.0196770833333333,0.023
"315","2007-06-24",0.0194375,0.022
"316","2007-06-25",0.0184166666666667,0.056
"317","2007-06-26",0.0183958333333333,0.076
"318","2007-06-27",0.0149583333333333,0.019
